,date,cases,deaths
40,2020-03-01,88,3
41,2020-03-02,104,6
42,2020-03-03,125,10
43,2020-03-04,161,12
44,2020-03-05,228,12
45,2020-03-06,311,15
46,2020-03-07,428,19
47,2020-03-08,547,22
48,2020-03-09,748,26
49,2020-03-10,1018,31
50,2020-03-11,1263,37
51,2020-03-12,1668,43
52,2020-03-13,2224,50
53,2020-03-14,2898,60
54,2020-03-15,3600,68
55,2020-03-16,4507,91
56,2020-03-17,5906,117
57,2020-03-18,8350,162
58,2020-03-19,12393,212
59,2020-03-20,18012,277
60,2020-03-21,24528,360
61,2020-03-22,33073,458
62,2020-03-23,43505,579
63,2020-03-24,53938,785
64,2020-03-25,68572,1054
65,2020-03-26,85570,1353
66,2020-03-27,102900,1770
67,2020-03-28,123966,2300
68,2020-03-29,142486,2718
69,2020-03-30,163955,3368
70,2020-03-31,188461,4304
405,2021-03-01,28680857,514404
406,2021-03-02,28738501,515710
407,2021-03-03,28805113,518079
408,2021-03-04,28872395,520028
409,2021-03-05,28938090,522511
410,2021-03-06,28994675,523970
411,2021-03-07,29034739,524646
412,2021-03-08,29129252,525466
413,2021-03-09,29185151,527351
414,2021-03-10,29243346,528825
415,2021-03-11,29305733,530349
416,2021-03-12,29369899,532054
417,2021-03-13,29419456,533928
418,2021-03-14,29457445,534497
419,2021-03-15,29514609,535250
420,2021-03-16,29569140,536494
421,2021-03-17,29628071,537671
422,2021-03-18,29688541,539229
423,2021-03-19,29749164,540743
424,2021-03-20,29803589,541515
425,2021-03-21,29837782,541963
426,2021-03-22,29892498,542611
427,2021-03-23,29949244,543504
428,2021-03-24,30029147,545094
429,2021-03-25,30098263,546364
430,2021-03-26,30172762,547624
431,2021-03-27,30233462,548404
432,2021-03-28,30277977,548894
433,2021-03-29,30348716,549579
434,2021-03-30,30410950,550526
435,2021-03-31,30478886,551661
770,2022-03-01,78986396,950788
771,2022-03-02,79044542,953136
772,2022-03-03,79096279,955018
773,2022-03-04,79145866,956910
774,2022-03-05,79162481,957217
775,2022-03-06,79169256,957429
776,2022-03-07,79232308,959115
777,2022-03-08,79266324,960690
778,2022-03-09,79314028,962503
779,2022-03-10,79352221,964062
780,2022-03-11,79396596,965746
781,2022-03-12,79407518,966218
782,2022-03-13,79413908,966361
783,2022-03-14,79462956,963926
784,2022-03-15,79511352,965449
785,2022-03-16,79550748,967482
786,2022-03-17,79586734,968690
787,2022-03-18,79623203,969733
788,2022-03-19,79635322,970065
789,2022-03-20,79643175,970148
790,2022-03-21,79689310,971107
791,2022-03-22,79714979,972104
792,2022-03-23,79762066,973459
793,2022-03-24,79799812,974441
794,2022-03-25,79833549,975273
795,2022-03-26,79845604,975436
796,2022-03-27,79853102,975486
797,2022-03-28,79895338,976396
798,2022-03-29,79920966,977153
799,2022-03-30,79966408,978361
800,2022-03-31,80004185,979236
1135,2023-03-01,103233169,1128090
1136,2023-03-02,103295280,1128722
1137,2023-03-03,103364789,1129424
1138,2023-03-04,103366460,1129434
1139,2023-03-05,103368027,1129434
1140,2023-03-06,103382801,1129530
1141,2023-03-07,103406609,1129852
1142,2023-03-08,103469981,1130471
1143,2023-03-09,103525528,1131912
1144,2023-03-10,103535689,1131963
1145,2023-03-11,103537178,1131969
1146,2023-03-12,103538183,1131968
1147,2023-03-13,103551298,1132071
1148,2023-03-14,103571472,1132310
1149,2023-03-15,103709101,1133022
1150,2023-03-16,103763561,1133461
1151,2023-03-17,103782317,1133824
1152,2023-03-18,103783492,1133826
1153,2023-03-19,103784916,1133826
1154,2023-03-20,103794703,1133964
1155,2023-03-21,103813076,1134177
1156,2023-03-22,103864888,1134913
1157,2023-03-23,103910034,1135343
